Itaxon_id	taxon_name	taxon_rank	taxon_clade	phylum	subphylum	class	subclass	order	suborder	superfamily	family	taxon_subfamily	tribe	taxon_genus	taxon_subgenus	pbdb_taxon_no	max_length	max_area	max_vol	extinct_max_length	extinct_max_area	extinct_max_vol	fad_int	lad_int	fad_age	lad_age	range_source	range_year	in_sepkoski	tiering	motility	feeding	ecospace	diet	calc_max_vol	extinct_calc_max_vol	extant	eco_ref	marine	brackish	freshwater	terrestrial
39539	Bathycrinus	genus	Ambulacralia	Echinodermata		Crinoidea		Bourgueticrinida						Bathycrinus		32591	4.81125	18.1805	36.8155	4.81125	18.1805	36.8155	Danian	Holocene	66	0	Sepkoski	2002	t	2	4	1	241		35.55584836	35.55584836	t		t		f	f
165867	Charitometra	genus		Echinodermata		Crinoidea		Comatulida		Tropiometroidea	Charitometridae			Charitometra			4.86	18.1595	57.596	4.86	18.1595	57.596	Holocene	Holocene	0.0117	0	Treatise	2011	f						36.6438164	36.6438164	t		t		f	f
166031	Leptometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae			Leptometra			4.875	18.6655	33.4112	4.875	18.6655	33.4112	Holocene	Holocene	0.0117	0	Treatise	2011	f						36.98297796	36.98297796	t		t		f	f
165949	Eumetra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Antedoninae		Eumetra			5.045	11.1936	21.0813	5.045	11.1936	21.0813	Holocene	Holocene	0.0117	0	Treatise	2011	f						40.97389298	40.97389298	t		t		f	f
166007	Thysanometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Thysanometrinae		Thysanometra			5.0875	14.6343	35.7321	5.0875	14.6343	35.7321	Holocene	Holocene	0.0117	0	Treatise	2011	f						42.01450207	42.01450207	t		t		f	f
165390	Craspedometra	genus		Echinodermata		Crinoidea				Mariametroidea	Himerometridae			Craspedometra			5.175	15.0892	37.3458	5.175	15.0892	37.3458	Holocene	Holocene	0.0117	0	Treatise	1978	f						44.21200932	44.21200932	t		t		f	f
165873	Crinometra	genus		Echinodermata		Crinoidea		Comatulida		Tropiometroidea	Charitometridae			Crinometra			5.2	18.2047	54.0984	5.2	18.2047	54.0984	Holocene	Holocene	0.0117	0	Treatise	2011	f						44.85362288	44.85362288	t		t		f	f
166017	Balanometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae			Balanometra			5.245	21.6063	54.9521	5.245	21.6063	54.9521	Holocene	Holocene	0.0117	0	Treatise	2011	f						46.02408743	46.02408743	t		t		f	f
165401	Tropiometra	genus		Echinodermata		Crinoidea				Tropiometroidea	Tropiometridae			Tropiometra			5.375	17.9203	50.7145	5.375	17.9203	50.7145	Holocene	Holocene	0.0117	0	Treatise	1978	f						49.51923213	49.51923213	t		t		f	f
165680	Laubiericrinus	genus		Echinodermata		Crinoidea		Hyocrinidae			Hyocrinidae			Laubiericrinus			5.3825	22.754	35.3825	5.3825	22.754	35.3825	Holocene	Holocene	0.0117	0	Treatise	1978	f						49.72609262	49.72609262	t		t		f	f
165387	Amphimetra	genus		Echinodermata		Crinoidea				Mariametroidea	Himerometridae			Amphimetra			5.545	8.2969	15.0081	5.545	8.2969	15.0081	Holocene	Holocene	0.0117	0	Treatise	1978	f						54.35042926	54.35042926	t		t		f	f
165904	Cosmiometra	genus		Echinodermata		Crinoidea		Comatulida		Tropiometroidea	Thalassometridae			Cosmiometra			5.5925	24.4434	90.6849	5.5925	24.4434	90.6849	Holocene	Holocene	0.0117	0	Treatise	2011	f						55.75424102	55.75424102	t		t		f	f
165364	Cenometra	genus		Echinodermata		Crinoidea				Mariametroidea	Colobometridae			Cenometra			5.6775	20.5787	63.3139	5.6775	20.5787	63.3139	Holocene	Holocene	0.0117	0	Treatise	1978	f						58.3261694	58.3261694	t		t		f	f
166043	Psathyrometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Zenometridae			Psathyrometra			5.7575	26.035	71.6397	5.7575	26.035	71.6397	Holocene	Holocene	0.0117	0	Treatise	2011	f						60.81782422	60.81782422	t		t		f	f
165898	Ptilometra	genus		Echinodermata		Crinoidea		Comatulida		Tropiometroidea	Ptilometridae			Ptilometra			5.8475	21.172	65.0685	5.8475	21.172	65.0685	Holocene	Holocene	0.0117	0	Treatise	2011	f						63.70447015	63.70447015	t		t		f	f
165902	Aglaometra	genus		Echinodermata		Crinoidea		Comatulida		Tropiometroidea	Thalassometridae			Aglaometra			5.91	27.4325	83.4861	5.91	27.4325	83.4861	Holocene	Holocene	0.0117	0	Treatise	2011	f						65.76181645	65.76181645	t		t		f	f
48227	Democrinus	genus	Ambulacralia	Echinodermata		Crinoidea		Bourgueticrinida						Democrinus		32594	6.028	28.5388	40.2207	6.028	28.5388	40.2207	Maastrichtian	Holocene	72.1	0	Sepkoski	2002	t	2	4	1	241		69.76572248	69.76572248	t		t		f	f
165985	Anthometrina	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Heliometrinae		Anthometrina			6.1	22.1341	68.173	6.1	22.1341	68.173	Holocene	Holocene	0.0117	0	Treatise	2011	f						72.28670372	72.28670372	t		t		f	f
165924	Stylometra	genus		Echinodermata		Crinoidea		Comatulida		Tropiometroidea	Thalassometridae			Stylometra			6.1575	29.7782	94.7444	6.1575	29.7782	94.7444	Holocene	Holocene	0.0117	0	Treatise	2011	f						74.34297632	74.34297632	t		t		f	f
116544	Neolampas	genus	Ambulacralia	Echinodermata	Echinozoa	Echinoidea		Cassiduloidea			Neolampadidae			Neolampas		259531	5.53	81.769	282.7389	5.53	81.769	282.7389	Holocene	Holocene	0.0117	0	Treatise	1966	f	3	2	2	322		74.34463438	74.34463438	t		t		f	f
165608	Cingocrinus	genus		Echinodermata		Crinoidea			Bouguetricrinina		Bourguetricrinidae	Bathycrininae		Cingocrinus			6.19	30.0934	59.4345	6.19	30.0934	59.4345	Holocene	Holocene	0.0117	0	Treatise	1978	f						75.52225213	75.52225213	t		t		f	f
165877	Monachometra	genus		Echinodermata		Crinoidea		Comatulida		Tropiometroidea	Charitometridae			Monachometra			6.426666667	25.9778	89.1326	6.426666667	25.9778	89.1326	Holocene	Holocene	0.0117	0	Treatise	2011	f						84.48729553	84.48729553	t		t		f	f
165941	Argyrometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Antedoninae		Argyrometra			6.436666667	32.5396	136.0877	6.436666667	32.5396	136.0877	Holocene	Holocene	0.0117	0	Treatise	2011	f						84.88093249	84.88093249	t		t		f	f
165678	Gephyrocrinus	genus		Echinodermata		Crinoidea		Hyocrinidae			Hyocrinidae			Gephyrocrinus			6.565	30.1247	117.3359	6.565	30.1247	117.3359	Holocene	Holocene	0.0117	0	Treatise	1978	f						90.04143509	90.04143509	t		t		f	f
55432	Conocrinus	genus	Ambulacralia	Echinodermata		Crinoidea		Bourgueticrinida						Conocrinus		32593	6.606666667	34.2811	58.354	6.606666667	34.2811	58.354	Thanetian	Holocene	59.2	0	Sepkoski	2002	t	2	4	1	241		91.76074338	91.76074338	t		t		f	f
165380	Pontiometra	genus		Echinodermata		Crinoidea				Mariametroidea	Colobometridae			Pontiometra			6.65	28.3603	102.6644	6.65	28.3603	102.6644	Holocene	Holocene	0.0117	0	Treatise	1978	f						93.57185596	93.57185596	t		t		f	f
54021	Monachocrinus	genus	Ambulacralia	Echinodermata		Crinoidea		Bourgueticrinida						Monachocrinus		32596	6.724	35.5096	69.6934	6.724	35.5096	69.6934	Santonian	Holocene	86.3	0	Sepkoski	2002	t	2	4	1	241		96.71940283	96.71940283	t		t		f	f
115969	Loxechinus	genus		Echinodermata		Echinoidea		Echinoida			Echinidae			Loxechinus			6.130434783	29.517	81.9632	6.130434783	29.517	81.9632	Holocene	Holocene	0.0117	0	Treatise	1966	f	3	2				98.66517815	98.66517815	t		t		f	f
165995	Solanometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Heliometrinae		Solanometra			6.813333333	36.4594	146.8097	6.813333333	36.4594	146.8097	Holocene	Holocene	0.0117	0	Treatise	2011	f						100.6120481	100.6120481	t		t		f	f
165382	Eudiocrinus	genus		Echinodermata		Crinoidea				Mariametroidea	Eudioicrinidae			Eudiocrinus			6.83	8.3683	8.703	6.83	8.3683	8.703	Holocene	Holocene	0.0117	0	Treatise	1978	f						101.3496359	101.3496359	t		t		f	f
165989	Florometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Heliometrinae		Florometra			7.153333333	31.6493	118.8606	7.153333333	31.6493	118.8606	Holocene	Holocene	0.0117	0	Treatise	2011	f						116.3797065	116.3797065	t		t		f	f
